"responseID","country","leagueOfFirstTeam","levelOfWork","position","dept","partTime","academyCategory","ageGroupAllPhases","ageGroupPDPhase","ageGroupYDPhase","ageGroupFPhase","reportedSalaryGBP","salaryGBP","highestQual","highestQualCategory"
1,"England","Championship","1st Team","Coach","Sport Science",NA,NA,NA,NA,NA,NA,20000,20000,"BSc","Undergraduate"
2,"England","Championship","1st Team","Head","S&C",NA,NA,NA,NA,NA,NA,22500,22500,"BSc","Undergraduate"
3,"England","Championship","1st Team","Coach","S&C",NA,NA,NA,NA,NA,NA,28000,28000,"MSc","Postgraduate"
4,"England","Championship","1st Team",NA,NA,NA,NA,NA,NA,NA,NA,33000,33000,"None","Unclear"
5,"England","Championship","1st Team","Head","Sport Science",NA,NA,NA,NA,NA,NA,35000,35000,"MSc","Postgraduate"
6,"England","Championship","Academy","Head","Sport Science",NA,"2",TRUE,TRUE,TRUE,TRUE,24000,24000,"MSc","Postgraduate"
7,"England","Championship","Academy","Coach","S&C",NA,"2",TRUE,TRUE,TRUE,TRUE,30000,30000,"MSc","Postgraduate"
8,"England","Championship","Academy","Head","Sport Science",NA,"1",TRUE,TRUE,TRUE,TRUE,28000,28000,"PhD","PhD"
9,"England","Championship","Academy","Coach","Sport Science",NA,"1",NA,NA,TRUE,NA,25000,25000,"MSc","Postgraduate"
10,"England","Championship","Academy","Coach","S&C",NA,NA,NA,TRUE,NA,NA,8000,8000,"BSc","Undergraduate"
11,"England","Championship","Academy","Coach","Sport Science",NA,"2",NA,TRUE,NA,NA,16000,16000,"MSc","Postgraduate"
12,"England","Championship","Academy","Lead","Sport Science",NA,"2",NA,TRUE,NA,NA,17000,17000,"MSc","Postgraduate"
13,"England","Championship","Academy","Coach","Both",NA,"2",NA,TRUE,NA,NA,17000,17000,"MSc","Postgraduate"
14,"England","Championship","Academy","Lead","Sport Science",NA,"1",NA,TRUE,NA,NA,22000,22000,"BSc","Undergraduate"
15,"England","Championship","Academy","Coach","Both",NA,"2",NA,TRUE,NA,NA,22000,22000,"MSc","Postgraduate"
16,"England","Championship","Academy","Lead","S&C",NA,"3",NA,TRUE,NA,NA,25000,25000,"BSc","Undergraduate"
17,"England","Championship","Academy","Head","Both",NA,"2",NA,TRUE,NA,NA,21000,21000,"MSc","Postgraduate"
18,"England","Championship","Academy","Lead","Sport Science",NA,"1",NA,TRUE,NA,NA,24500,24500,"BSc","Undergraduate"
19,"England","Championship","Academy","Lead","Sport Science",NA,"2",NA,TRUE,NA,NA,24500,24500,"MSc","Postgraduate"
20,"England","Championship","Academy","Lead","Sport Science",NA,"2",NA,TRUE,NA,NA,28000,28000,"BSc","Undergraduate"
21,"England","Championship","Academy","Head","Sport Science",NA,"2",NA,TRUE,TRUE,NA,40000,40000,"MSc","Postgraduate"
22,"England","Championship","Academy","Head","S&C",NA,"2",NA,TRUE,NA,NA,30000,30000,"MSc","Postgraduate"
23,"England","Championship","Academy","Head","S&C",NA,"1",NA,TRUE,TRUE,NA,32000,32000,"PhD","PhD"
24,"England","Championship","Academy","Coach","Sport Science",NA,"1",NA,NA,TRUE,TRUE,19000,19000,"MSc","Postgraduate"
25,"England","Championship","Academy","Lead","Sport Science","Part Time","1",NA,NA,TRUE,TRUE,15000,15000,"PhD","PhD"
26,"England","Championship","Academy","Coach","Sport Science",NA,"2",NA,NA,TRUE,TRUE,18500,18500,"BSc","Undergraduate"
27,"England","Championship","Academy","Coach","Sport Science",NA,"1",NA,NA,TRUE,TRUE,19000,19000,"MSc","Postgraduate"
28,"England","Championship","Academy","Coach","S&C",NA,"1",NA,TRUE,TRUE,TRUE,20000,20000,"MSc","Postgraduate"
29,"England","Championship","Academy","Head","Sport Science",NA,"2",NA,TRUE,TRUE,TRUE,27000,27000,"MSc","Postgraduate"
30,"England","Championship","Academy","Head","Sport Science",NA,"2",TRUE,TRUE,TRUE,TRUE,20000,20000,"MSc","Postgraduate"
31,"England","Championship","Academy","Coach","Sport Science",NA,"2",NA,NA,TRUE,TRUE,16000,16000,"MSc","Postgraduate"
32,"England","Championship","Academy","Coach","Sport Science",NA,"2",NA,NA,TRUE,TRUE,20000,20000,"MSc","Postgraduate"
33,"England","Championship","Academy","Coach","Sport Science",NA,"2",NA,TRUE,TRUE,TRUE,16000,16000,"MSc","Postgraduate"
34,"England","Championship","Academy","Head","Sport Science",NA,NA,NA,NA,NA,NA,40000,40000,"BSc","Undergraduate"
35,"England","League 1","1st Team","Coach","Sport Science",NA,NA,NA,NA,NA,NA,12000,12000,"MSc","Postgraduate"
36,"England","League 1","1st Team","Lead","S&C",NA,NA,NA,NA,NA,NA,16000,16000,"BSc","Undergraduate"
37,"England","League 1","1st Team","Coach","Sport Science",NA,NA,NA,NA,NA,NA,16000,16000,"MSc","Postgraduate"
38,"England","League 1","1st Team","Coach","Sport Science",NA,NA,NA,NA,NA,NA,20500,20500,"MSc","Postgraduate"
39,"England","League 1","1st Team","Coach","S&C",NA,NA,NA,NA,NA,NA,25000,25000,"MSc","Postgraduate"
40,"England","League 1","1st Team","Coach","S&C",NA,NA,NA,NA,NA,NA,25000,25000,"MSc","Postgraduate"
41,"England","League 1","1st Team","Coach","S&C",NA,NA,NA,NA,NA,NA,25000,25000,"MSc","Postgraduate"
42,"England","League 1","1st Team","Coach","S&C",NA,NA,NA,NA,NA,NA,27000,27000,"BSc","Undergraduate"
43,"England","League 1","1st Team","Head","Sport Science",NA,NA,NA,NA,NA,NA,27000,27000,"MSc","Postgraduate"
44,"England","League 1","1st Team","Head","Sport Science",NA,NA,NA,NA,NA,NA,32000,32000,"MSc","Postgraduate"
45,"England","League 1","1st Team","Head","Physical Performance",NA,NA,NA,NA,NA,NA,35000,35000,"MSc","Postgraduate"
46,"England","League 1","1st Team","Lead","Sport Science",NA,NA,NA,NA,NA,NA,37500,37500,"MSc","Postgraduate"
47,"England","League 1","1st Team","Head","Physical Performance",NA,NA,NA,NA,NA,NA,40000,40000,"MSc","Postgraduate"
48,"England","League 1","1st Team","Head","Physical Performance",NA,NA,NA,NA,NA,NA,42000,42000,"MSc","Postgraduate"
49,"England","League 1","1st Team","Intern","Sport Science",NA,NA,NA,NA,NA,NA,NA,0,"MSc","Postgraduate"
50,"England","League 1","1st Team","Coach","Sport Science",NA,NA,NA,NA,NA,NA,NA,53000,"PhD","PhD"
51,"England","League 1","Academy","Coach","S&C",NA,"1",TRUE,TRUE,TRUE,TRUE,18000,18000,"MSc","Postgraduate"
